Make,Model,Year,Color,Mileage,Transmission,Fuel,Price,Location,Date,URL
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Peugeot,Partner,2000,,1555,Manuelle,Diesel,"1 200 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Toyota,Cressida,2008,,,Automatique,Essence,"9 500 000
FCFA",Treichville,07/07,https://media.jumiadeals.com/ci_live/e802237c115f0497aeee649.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Honda,CR-V,2002,,,Automatique,Essence,"3 250 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/cf8dd3640c5f049615d9405.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Kia,Sportage,2008,,145000,Automatique,Essence,"5 000 000
FCFA",Riviera,07/07,https://media.jumiadeals.com/ci_live/8ead1af9c65f04978d4e787.desktop-gallery-large.jpg
BMW,3,2013,,,Automatique,Essence,"14 500 000
FCFA",Riviera,07/07,https://media.jumiadeals.com/ci_live/89a36d24d55f0492010c0b0.desktop-gallery-large.jpg
Honda,CR-V,2006,,85000,Automatique,Essence,"3 800 000
FCFA",Le Plateau,07/07,https://media.jumiadeals.com/ci_live/401805db0f5f04976be2661.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Hyundai,Santa Fe,2005,,,Manuelle,Essence,"3 800 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/5a8f09c18a5f048caba1774.desktop-gallery-large.jpg
Honda,CR-V,2002,,,Automatique,Essence,"3 250 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/fbe6b2c23c5f0495f7f347c.desktop-gallery-large.jpg
Peugeot,406,2002,,,Manuelle,Essence,"1 350 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/dfa7e3e0585f0494b3a7792.desktop-gallery-large.jpg
BMW,1,1999,,,Manuelle,Essence,"1 600 000
FCFA",Abobo,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Land rover,Range Rover,2013,,83000,Automatique,Diesel,"13 500 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/746ea6ed5d5f0495d7efb26.desktop-gallery-large.jpg
Mercedes,GLK -class,2017,,90000,Automatique,Essence,"14 000 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/8fb18c47805f048e0b08e14.desktop-gallery-large.jpg
Toyota,RAV4,2008,,,,,"9 500 000
FCFA",Marcory,07/07,https://media.jumiadeals.com/ci_live/c85e537c875f04967689311.desktop-gallery-large.jpg
Toyota,Avensis,2009,,1,Automatique,Essence,"5 000 000
FCFA",Attécoubé,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Kia,Soul,2012,,,Automatique,,"7 800 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/518a766fbc5f048e5aa90e3.desktop-gallery-large.jpg
Hyundai,Tucson,2016,,89000,Automatique,Essence,"12 900 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/cf25ee86c35f04979c37ea9.desktop-gallery-large.jpg
Volkswagen,Tiguan,2011,,106,Automatique,Essence,"5 500 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/0529e107be5f049734445e9.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Toyota,Fortuner,2012,,186520,Manuelle,Diesel,"5 500 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Toyota,Avanza,2011,,106,Manuelle,Diesel,"600 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Volkswagen,Polo,1998,,,Manuelle,Essence,"1 250 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/6043dd6adf5f0494cca3875.desktop-gallery-large.jpg
Land rover,Range Rover,2013,,83000,Automatique,Diesel,"13 500 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,Série 3,2001,,,Manuelle,Essence,"1 550 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/2957fa50d45f0491e62b201.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Nissan,Rogue,2008,,45000,Automatique,Essence,"6 000 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/6d459a4dac5f049743140c1.desktop-gallery-large.jpg
Toyota,Avensis,2011,,106,Manuelle,Diesel,"6 000 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/92b19450c45f0495d4de6b0.desktop-gallery-large.jpg
Hyundai,Tucson,2012,,120000,Automatique,Essence,"11 000 000
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/e8c90b29b45f0496467aea1.desktop-gallery-large.jpg
Honda,CR-V,2009,,98000,Automatique,Essence,"8 488 000
FCFA",Marcory,07/07,https://media.jumiadeals.com/ci_live/dce2d5738c5f04886e372fa.desktop-gallery-large.jpg
Land rover,Range Rover,2013,,83000,Automatique,Diesel,"13 500 000
FCFA",Riviera,07/07,https://media.jumiadeals.com/ci_live/ef3af512835f049673765be.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Volkswagen,Tiguan,2011,,106,Automatique,Essence,"5 500 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
BMW,1,1999,,,Manuelle,Essence,"1 600 000
FCFA",Abobo,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Toyota,Yaris,2006,,,Manuelle,Essence,"1 700 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Toyota,Avanza,2011,,106,Manuelle,Diesel,"600 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,Partner,2000,,1555,Manuelle,Diesel,"1 200 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,,2002,,120000,Manuelle,Essence,"2 000 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/64e3d50aeb5f048fce02b5c.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Mitsubishi,ASX,2015,,94000,Manuelle,Essence,"7 400 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/561ea27b825f049186d8669.desktop-gallery-large.jpg
Toyota,Land Cruiser,2005,,,Manuelle,Diesel,"4 700 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/0195b905a35f04933964a56.desktop-gallery-large.jpg
Toyota,Avensis,2002,,,Manuelle,Essence,"3 900 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/d6de2e665b5f048ca037904.desktop-gallery-large.jpg
Toyota,Land Cruiser,2005,,,Manuelle,Diesel,"4 700 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,Série 3,2001,,,Manuelle,Essence,"1 550 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/1336d88ea95f0491e3aa9d2.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
BMW,E30,2000,,,Manuelle,Essence,"1 000 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/b71c59216a5f0491ebae752.desktop-gallery-large.jpg
